Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
sacred-hojari,SACRED HOJARI,"<p><strong>SACRED HOJARI</strong></p>
<h3>Curator's Notes</h3>
<p>A study in altitude and light. This is the 'Royal Green' grade of Boswellia sacra, harvested exclusively from the apex of the Dhofar cliffs where the desert heat meets the monsoonal mist. Unlike common resins, these tears exhibit a bone-white to jade-green translucency, signaling a high concentration of limonene.</p><p>
Upon fractional distillation, the profile is not smoky, but sharp and cooling. It evokes crushed lime peel, eucalyptus, and the dry static of calcified stone. A sacred antiseptic that acts as a vertical clearing for the senses.</p>",Tarife Attär,Relic Collection,Relic,FALSE,,Default Title,RELIC-SACREDHOJARI,,shopify,0,deny,manual,50,,TRUE,TRUE,,https://cdn.sanity.io/images/8h5l91ut/production/5a0d8955d5b6e53d4a2cd11692af3f388e0622fe-1200x1200.png,1,SACRED HOJARI,FALSE,SACRED HOJARI,SACRED HOJARI - Relic Collection,,,,,,,,,,,,,,,g,,,draft
jasmine,JASMINE,"<p><strong>JASMINE (formerly Arabian Jasmine)</strong></p>
<h3>Evocation</h3>
<p>Grasse calls itself the perfume capital of the world, but what makes it special is not technique—it is terroir. The jasmine that grows in these hills has a richness that flowers elsewhere cannot match.</p>
<p>JASMINE captures that particular intensity: honeyed and narcotic, with a darkness beneath the sweetness that hints at the night-blooming nature. Something confessional about it.</p>
<p>This is not delicate jasmine. This is jasmine at full power: intoxicating, slightly dangerous, impossible to ignore.</p>
<h3>On Skin</h3>
<p>A very beautiful blend of jasmine and sambac opens with bright, fresh intensity—capturing the flower at its most intoxicating. Classic jasmine accords weave through, honeyed and narcotic.</p>
<p>Intoxicating without apology. The kind of fragrance that changes the energy of a room without anyone knowing why.</p>",Tarife Attär,Atlas Collection,"Atlas, PETAL",TRUE,Size,6ml,PETAL-JASMINE-6ML,,shopify,1,deny,manual,30,,TRUE,TRUE,,https://cdn.sanity.io/images/8h5l91ut/production/53061b86c78464ae8f4486732ab374e3f5a255ef-1200x1200.jpg,1,JASMINE,FALSE,JASMINE,JASMINE (formerly Arabian Jasmine) - Atlas Collection,,,,,,,,,,,,,,,g,,,active
jasmine,JASMINE,"<p><strong>JASMINE (formerly Arabian Jasmine)</strong></p>
<h3>Evocation</h3>
<p>Grasse calls itself the perfume capital of the world, but what makes it special is not technique—it is terroir. The jasmine that grows in these hills has a richness that flowers elsewhere cannot match.</p>
<p>JASMINE captures that particular intensity: honeyed and narcotic, with a darkness beneath the sweetness that hints at the night-blooming nature. Something confessional about it.</p>
<p>This is not delicate jasmine. This is jasmine at full power: intoxicating, slightly dangerous, impossible to ignore.</p>
<h3>On Skin</h3>
<p>A very beautiful blend of jasmine and sambac opens with bright, fresh intensity—capturing the flower at its most intoxicating. Classic jasmine accords weave through, honeyed and narcotic.</p>
<p>Intoxicating without apology. The kind of fragrance that changes the energy of a room without anyone knowing why.</p>",Tarife Attär,Atlas Collection,"Atlas, PETAL",TRUE,Size,12ml,PETAL-JASMINE-12ML,,shopify,1,deny,manual,50,,TRUE,TRUE,,https://cdn.sanity.io/images/8h5l91ut/production/53061b86c78464ae8f4486732ab374e3f5a255ef-1200x1200.jpg,2,JASMINE,FALSE,JASMINE,JASMINE (formerly Arabian Jasmine) - Atlas Collection,,,,,,,,,,,,,,,g,,,active
bahia,BAHIA,"<p><strong>BAHIA (formerly Coconut Jasmine)</strong></p>
<h3>Evocation</h3>
<p>Salvador de Bahia is where Africa met the Americas and decided to stay. The city runs on candomblé rhythms and coconut water, its streets paved in Portuguese stone but its soul decidedly Yoruba.</p>
<p>BAHIA captures that particular joy: coconut and jasmine, with vanilla warmth and frangipani's exotic sweetness. This is not a tropical cliché—it is more complex, more grounded.</p>
<p>There is a specific kind of happiness that comes from places where cultures mix without hierarchy—where everything borrowed becomes something new.</p>
<h3>On Skin</h3>
<p>Coconut opens creamy and fresh, joined immediately by vanilla's warm embrace. Jasmine adds heady sweetness while frangipani brings the tropics without cliché.</p>
<p>This is not a tropical cliché. There is sophistication beneath the sunny exterior—complexity earned through the meeting of worlds.</p>",Tarife Attär,Atlas Collection,"Atlas, TIDAL",TRUE,Size,6ml,TIDAL-BAHIA-6ML,,shopify,1,deny,manual,30,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1989/5889/files/freepik__create-a-luxury-ecommerce-studioquality-editorial-__448.jpg?v=1758691250,1,BAHIA,FALSE,BAHIA,BAHIA (formerly Coconut Jasmine) - Atlas Collection,,,,,,,,,,,,,,,g,,,active
bahia,BAHIA,"<p><strong>BAHIA (formerly Coconut Jasmine)</strong></p>
<h3>Evocation</h3>
<p>Salvador de Bahia is where Africa met the Americas and decided to stay. The city runs on candomblé rhythms and coconut water, its streets paved in Portuguese stone but its soul decidedly Yoruba.</p>
<p>BAHIA captures that particular joy: coconut and jasmine, with vanilla warmth and frangipani's exotic sweetness. This is not a tropical cliché—it is more complex, more grounded.</p>
<p>There is a specific kind of happiness that comes from places where cultures mix without hierarchy—where everything borrowed becomes something new.</p>
<h3>On Skin</h3>
<p>Coconut opens creamy and fresh, joined immediately by vanilla's warm embrace. Jasmine adds heady sweetness while frangipani brings the tropics without cliché.</p>
<p>This is not a tropical cliché. There is sophistication beneath the sunny exterior—complexity earned through the meeting of worlds.</p>",Tarife Attär,Atlas Collection,"Atlas, TIDAL",TRUE,Size,12ml,TIDAL-BAHIA-12ML,,shopify,1,deny,manual,50,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1989/5889/files/freepik__create-a-luxury-ecommerce-studioquality-editorial-__448.jpg?v=1758691250,2,BAHIA,FALSE,BAHIA,BAHIA (formerly Coconut Jasmine) - Atlas Collection,,,,,,,,,,,,,,,g,,,active
bahrain,BAHRAIN,"<p><strong>BAHRAIN</strong></p>
<h3>Evocation</h3>
<p>Before oil, there was pearl. For four thousand years, Bahraini divers descended into the Gulf, holding their breath for minutes at a time, hunting oysters in waters so warm they were nearly body-temperature.</p>
<p>The new Bahrain moves faster—chrome speedboats cutting across the same waters where wooden dhows once drifted. BAHRAIN captures both: the ancient depth and the modern velocity.</p>
<p>There is something meditative about going under. And there is something exhilarating about breaking the surface. BAHRAIN offers both: depth and velocity, patience and power.</p>
<h3>On Skin</h3>
<p>Fresh ozonic notes open with immediate velocity—metallic, bright, the chrome of modern Gulf luxury. Woody notes provide structure, almost steel-like in their precision. Marine accords weave through.</p>
<p>A fragrance that moves—from depth to surface, from contemplation to exhilaration. Very fresh, woody, with ozonic notes and marine accords.</p>",Tarife Attär,Atlas Collection,"Atlas, TIDAL",FALSE,Size,6ml,TIDAL-BAHRAIN-06ML,,shopify,0,deny,manual,30,,TRUE,TRUE,,,1,BAHRAIN,FALSE,BAHRAIN,BAHRAIN - Atlas Collection,,,,,,,,,,,,,,,g,,,draft
bahrain,BAHRAIN,"<p><strong>BAHRAIN</strong></p>
<h3>Evocation</h3>
<p>Before oil, there was pearl. For four thousand years, Bahraini divers descended into the Gulf, holding their breath for minutes at a time, hunting oysters in waters so warm they were nearly body-temperature.</p>
<p>The new Bahrain moves faster—chrome speedboats cutting across the same waters where wooden dhows once drifted. BAHRAIN captures both: the ancient depth and the modern velocity.</p>
<p>There is something meditative about going under. And there is something exhilarating about breaking the surface. BAHRAIN offers both: depth and velocity, patience and power.</p>
<h3>On Skin</h3>
<p>Fresh ozonic notes open with immediate velocity—metallic, bright, the chrome of modern Gulf luxury. Woody notes provide structure, almost steel-like in their precision. Marine accords weave through.</p>
<p>A fragrance that moves—from depth to surface, from contemplation to exhilaration. Very fresh, woody, with ozonic notes and marine accords.</p>",Tarife Attär,Atlas Collection,"Atlas, TIDAL",FALSE,Size,12ml,TIDAL-BAHRAIN-12ML,,shopify,0,deny,manual,50,,TRUE,TRUE,,,2,BAHRAIN,FALSE,BAHRAIN,BAHRAIN - Atlas Collection,,,,,,,,,,,,,,,g,,,draft
obsidian,OBSIDIAN,"<p><strong>OBSIDIAN (formerly Black Musk)</strong></p>
<h3>Evocation</h3>
<p>Before the Aztecs, before the Maya, there was Teotihuacan—a city that housed 125,000 people when Rome was at its height, then was mysteriously abandoned.</p>
<p>OBSIDIAN captures that ancient darkness: a very dark musk—beautiful and resinous. Dark musk with volcanic depth, sweet but serious, warm but weighted.</p>
<p>Some beauty does not ask to be understood. OBSIDIAN carries that energy: present without performing, powerful without explaining.</p>
<h3>On Skin</h3>
<p>Dark musk opens with immediate depth—no preamble, no apology. Ambrette adds its seed-like warmth while myrrh provides ancient resinous character.</p>
<p>OBSIDIAN is comfortable with its own mystery. Present without performing, powerful without explaining. For those who do not need to be understood to be confident.</p>",Tarife Attär,Atlas Collection,"Atlas, EMBER",TRUE,Size,6ml,EMBER-OBSIDIAN-6ML,,shopify,1,deny,manual,28,,TRUE,TRUE,,https://cdn.sanity.io/images/8h5l91ut/production/6b9e27f24187095465cedb39e53994b33e7d8217-1200x1200.jpg,1,OBSIDIAN,FALSE,OBSIDIAN,OBSIDIAN (formerly Black Musk) - Atlas Collection,,,,,,,,,,,,,,,g,,,active
obsidian,OBSIDIAN,"<p><strong>OBSIDIAN (formerly Black Musk)</strong></p>
<h3>Evocation</h3>
<p>Before the Aztecs, before the Maya, there was Teotihuacan—a city that housed 125,000 people when Rome was at its height, then was mysteriously abandoned.</p>
<p>OBSIDIAN captures that ancient darkness: a very dark musk—beautiful and resinous. Dark musk with volcanic depth, sweet but serious, warm but weighted.</p>
<p>Some beauty does not ask to be understood. OBSIDIAN carries that energy: present without performing, powerful without explaining.</p>
<h3>On Skin</h3>
<p>Dark musk opens with immediate depth—no preamble, no apology. Ambrette adds its seed-like warmth while myrrh provides ancient resinous character.</p>
<p>OBSIDIAN is comfortable with its own mystery. Present without performing, powerful without explaining. For those who do not need to be understood to be confident.</p>",Tarife Attär,Atlas Collection,"Atlas, EMBER",TRUE,Size,12ml,EMBER-OBSIDIAN-12ML,,shopify,1,deny,manual,48,,TRUE,TRUE,,https://cdn.sanity.io/images/8h5l91ut/production/6b9e27f24187095465cedb39e53994b33e7d8217-1200x1200.jpg,2,OBSIDIAN,FALSE,OBSIDIAN,OBSIDIAN (formerly Black Musk) - Atlas Collection,,,,,,,,,,,,,,,g,,,active
kyoto,KYOTO,"<p><strong>KYOTO (formerly China Rain)</strong></p>
<h3>Evocation</h3>
<p>The bamboo groves of Arashiyama sway above a river that has flowed past temples for over a thousand years. In spring, cherry blossoms fall onto the water and float downstream.</p>
<p>KYOTO captures that transient grace: a very classic scent—China Rain—with its unmistakable petrichor quality. Very beautiful, fresh, with that sense of water lily and light musk.</p>
<p>The genius of Japanese aesthetics is knowing when to stop—restraint not as limitation but as refinement. KYOTO carries that same lightness.</p>
<h3>On Skin</h3>
<p>Light green top notes open with the freshness of bamboo after rain. Petrichor—that specific scent of rain on warm stone—defines the heart, joined by water lily's soft aquatic character.</p>
<p>KYOTO does not try to hold on. It opens, releases, trusts the current. A fragrance for those who understand that the most beautiful things are also the most temporary.</p>",Tarife Attär,Atlas Collection,"Atlas, TIDAL",TRUE,Size,6ml,TIDAL-KYOTO-6ML,,shopify,1,deny,manual,30,,TRUE,TRUE,,https://cdn.sanity.io/images/8h5l91ut/production/3fb518e60ebffb7872e3ef663ba4152c1b41b71f-1200x1200.jpg,1,KYOTO,FALSE,KYOTO,KYOTO (formerly China Rain) - Atlas Collection,,,,,,,,,,,,,,,g,,,active
